titulo,estilo,letra
Si Supieras (part. ECKO),cumbia,"['AyLa T y La M, Ecko, E-E-E-EckoLe mandamos cumbia perro, ja', 'Mami estoy loco por tenerteMami estoy loco por besarteEsperando volver a vertePara así poder confesarte que lo nuestro es aparte', 'Ando ocupado en busca del moneyPor eso es que me busca la poliLogo de squad ya lo lleva en el hoodie (squad)Conmigo es que se vive la movie', 'Mamacita si supieras que me superaTu recuerdo me tiene prendiendo velasFumando ahogando las penasSi supierasQue de olvidarte no hay manera', 'Aaaay, esto es La T y La MY todavía tengo el video, que se mueran los feosDe cuando me llevaba ese culito de trofeoDe cuando nos grabamos y piola la pasamosEs que no somos nada, pero siempre nos celamos', 'Como Jhayco y Bad en la cama nos matamosTirame location cuando quieras nos encontramosY al bobo de tu ex dile de qué nos peleamosDile lo que quieras como quiera lo intentamos', 'Mamacita si supieras que me superaTu recuerdo me tiene prendiendo velasFumando ahogando las penasSi supierasQue de olvidarte no hay manera', ""Te tengo en mi mente mami no puedo sacarteQuiero llamarte pa salir a buscartePintó stalkearte y de las redes me bloqueasteToas las fotos que tenía borrasteAsí que me voy pa'l baile, pa olvidarteEscucho los temas que me dedicaste"", ""Así que me voy pa'l baile, pa olvidarteEscucho los temas que me dedicasteYo sigo sentado en la esquina pensando como fui tan gilTe buscaste uno nuevo y se parece a míPensaste que era fácil pero no es asíCuando quieras volver ya no voy a estar ahí"", 'Y yo sigo sentado en la esquina pensando como fui tan gilTe buscaste uno nuevo y se parece a míPensaste que era fácil pero no es así', 'Mami estoy loco por tenerteMami estoy loco por besarteEsperando volver a vertePara así poder confesarte mi amor', 'Que yo estoy loco por tenerteMami estoy loco por besarteEsperando volver a vertePara poder confesarte mi amor', 'Mamacita si supieras que me superaTu recuerdo me tiene prendiendo velasFumando ahogando las penasSi supierasQue de olvidarte no hay manera', 'Ey, Ecko, Cristian KrizAaaay La T y La MJuani Pe en los controlesEcko, le mandamos cumbia, perro, ja']"
Dubidubidu,dance,"['Si tú quieres bailar, jugar, pintar y cantarTú puedes venir a mi casaLa idea es compartirTe vas a divertirSi quieres venir a mi casa', 'Quiero invitar a jugar a mi casaA todas mis amigas y amigosQuiero saltar y bailarY lo que tengo, compartir contigo', 'Chipi, chipi, chapa, chapaDubi, dubi, daba, dabaMágico, mi dubi, dubiBum, bum, bum, bum, bum', 'Chipi, chipi, chapa, chapaDubi, dubi, daba, dabaMágico, mi dubi, dubiBum', 'Si tú quieres cantar, yo te voy a enseñarSi quieres venir a mi casaLe digo a mi mamá que diga a tu mamáQue deje venirte a mi casa', 'Tengo un muñeco regalónQue si le das un biberón, no llora (No llora)Y en mi libreta, una canciónQue todos vamos a cantar ahora', 'Chipi, chipi, chapa, chapaDubi, dubi, daba, dabaMágico, mi dubi, dubiBum, bum, bum, bum, bum', 'Chipi, chipi, chapa, chapaDubi, dubi, daba, dabaMágico, mi dubi, dubiBum', 'Chipi, chipi, chapa, chapaDubi, dubi, daba, dabaMágico, mi dubi, dubiBum, bum, bum, bum, bum', 'Chipi, chipi, chapa, chapaDubi, dubi, daba, dabaMágico, mi dubi, dubiBum', 'Si tú quieres bailar, jugar, pintar y cantarTú puedes venir a mi casaLa idea es compartirTe vas a divertirSi quieres venir a mi casa', 'Quiero invitar a jugar a mi casaA todas mis amigas y amigosQuiero saltar y bailarY lo que tengo, compartir contigo', 'Si tú quieres cantar, yo te voy a enseñarSi puedes venir a mi casaLe digo a mi mamá que diga a tu mamáQue deje venirte a mi casa', 'Tengo un muñeco regalónQue si le das un biberón, no llora (No llora)Que en mi libreta, una canciónQue todos vamos a cantar ahora', 'Chipi, chipi, chapa, chapaDubi, dubi, daba, dabaMágico, mi dubi, dubiBum, bum, bum, bum, bum', 'Chipi, chipi, chapa, chapaDubi, dubi, daba, dabaMágico, mi dubi, dubiBum', 'Chipi, chipi, chapa, chapaDubi, dubi, daba, dabaMágico, mi dubi, dubiBum, bum, bum, bum, bum', 'Chipi, chipi, chapa, chapaDubi, dubi, daba, dabaMágico, mi dubi, dubiBum', 'Chipi, chipi, chapa, chapaDubi, dubi, daba, dabaMágico, mi dubi, dubiBum, bum, bum, bum, bum', 'Chipi, chipi, chapa, chapaDubi, dubi, daba, dabaMágico, mi dubi, dubiBum']"
Gyal You A Party Animal,dancehall,"[""It's CharlyGirlsMy girl come flip it like a FlipagramFlip it like a FlipagramMake yuh bumpa flip like a FlipagramFlip it like a FlipagramFlip it like a Flipagram (yuh, yuh deaf?)Gyal whine up pon mi body gyalWhine like it's a carnivalGyal me love the way how you whine for meGyal your whine is so emotionalSo whine up pon mi body gyalMe wan' you come whine your waistline for meBaby yuh bubblin', yuh bubblin', yuh bubblin' babyGyal you a party animalGyal you active, no you nuh lazyGyal you a party animalTo how you whine you drive me crazyGyal you a party animalYou whine so good, you just so goodGyal me love how you partyShe took one shot, two shot, three shot, fourAfter nine minutes she come back for moreShe take of her shoes dem pon di dancefloorAnd she start to bruk out, bruk out like a soreThen she approach me just like a cureMe know seh she like me, tonight me a scoreShe sexy, she beautiful and she pureGyal ah you me adore, soGyal whine up pon mi body gyalWhine just like ah carnivalGyal me love the way how you whine for meGyal your whine is so emotionalSo whine up pon mi body gyalMe wan' you come whine your waistline for me (whoa)Baby yuh bubblin', yuh bubblin', yuh bubblin' babyGyal you a party animalTo how you whine you drive me crazyGyal you a party animalGyal you active no you nuh lazyGyal you a party animalYou dance so good, you just so goodGyal me love how you partyGyal yuh ting up deh, up deh, up dehMe nuh know where yuh from but yuh ting up dehGyal if God send you fi meet me tonightMe ah follow you ah morning, go back up dehNo worry 'bout your friends they're with my friendsAfter di club a party pon mi endsSo gyal just flip it like a Flipagram, flip it like a FlipagramRight this momentWhine up pon mi body gyalWhine just like ah carnivalGyal me love the way how you whine for meGyal your whine is so emotionalSo whine up pon mi body gyalMe wan' you come whine your waistline for me (yuh deaf?)Baby yuh bubblin', yuh bubblin', yuh bubblin' babyGyal you a party animalGyal you active no you no lazyGyal you a party animalTo how you whine you drive me crazyGyal you a party animalYou just so good, you whine so goodGyal me love how youWhine up pon mi body gyalWhine just like, carnivalGyal me love the way how you whine for me'MotionalBody gyalMe wan' you come whine your waistline for me (whoa)Bubblin', yuh bubblin', yuh bubblin' babyGyal you a party animalGyal you a party animalGyal you a party animal""]"
The Winner Takes It All,disco,"[""I don't wanna talkAbout the things we've gone throughThough it's hurting meNow it's historyI've played all my cardsAnd that's what you've done tooNothing more to sayNo more ace to play"", ""The winner takes it allThe loser's standing smallBeside the victoryThat's her destiny"", ""I was in your armsThinking I belonged thereI figured it made senseBuilding me a fenceBuilding me a homeThinking I'd be strong thereBut I was a foolPlaying by the rules"", 'The gods may throw a diceTheir minds as cold as iceAnd someone way down hereLoses someone dear', ""The winner takes it all (takes it all)The loser has to fall (has to fall)It's simple and it's plain (yes, it's plain)Why should I complain? (Why complain?)"", 'But tell me, does she kissLike I used to kiss you?Does it feel the sameWhen she calls your name?Somewhere deep insideYou must know I miss youBut what can I say?Rules must be obeyed', 'The judges will decide (will decide)The likes of me abide (me abide)Spectators of the show (of the show)Always staying low (staying low)', 'The game is on again (on again)A lover or a friend (or a friend)A big thing or a small (big or small)The winner takes it all (takes it all)', ""I don't wanna talkIf it makes you feel sadAnd I understandYou've come to shake my handI apologizeIf it makes you feel badSeeing me so tenseNo self-confidenceBut you see"", 'The winner takes it allThe winner takes it all', ""So the winner takes it allAnd the loser has to fallThrow a dice, cold as iceWay down here, someone dearTakes it all, has to fallYes, it's plainWhy complain?""]"
Sou Musa do Verão (part. Luísa Sonza),eletronica,"['Pedindo pente all nightE de manhã acordo com a tua voz pedindo maisFaz o que eu quero, meu bemEu já tô com saudade do macete que tu tem', ""Enquanto o tempo para devagar, tu beija forteSe é um sonho, baby, I don't knowOlho sob a pele do teu corpo, me lambuzo com teu gostoBaby, I wanna come"", '(Make me, ah-ah-ah) então, vai(Make me, ah-ah-ah) quero mais(Make me, ah-ah-ah) o que tu fazGet me high(Make me, ah-ah-ah) então vai(Make me, ah-ah-ah) quero mais(Make me, ah-ah-ah) o que tu fazGet me high', '(Ahn, ahn, ahn, ahn) hum', 'Bota minha calcinha de lado e faz bem puto, puto, putoBota minha calcinha de lado e faz bem puto, puto, putoBota minha calcinha de lado e faz bem puto, puto, putoBota minha calcinha de lado e diz pra mim', 'Sou musa do verão, calor no coraçãoO gosto do teu beijo trouxe alucinaçãoÉ que eu não posso dizer não, você me dá tesãoE eu penso toda hora em você passando a mão', ""Enquanto o tempo para devagar, tu beija forteSe é um sonho, baby, I don't knowOlho sob a pele do teu corpo, me lambuzo com teu gostoBaby, I wanna come"", '(Make me, ah-ah-ah) então, vai(Make me, ah-ah-ah) quero mais(Make me, ah-ah-ah) o que tu fazGet me high(Make me, ah-ah-ah) então vai(Make me, ah-ah-ah) quero mais(Make me, ah-ah-ah) o que tu fazGet me high', '(Ahn, ahn, ahn, ahn) hum', 'Bota minha calcinha de lado e faz bem puto, puto, putoBota minha calcinha de lado e faz bem puto, puto, putoBota minha calcinha de lado e faz bem puto, puto, putoBota minha calcinha de lado e diz pra mim', 'Minha calcinha de lado e faz bem puto, puto, putoMinha calcinha de lado e diz pra mim', '(Sou musa do verão)']"
The Ghost Of You,emocore,"[""I never said I'd lie and wait foreverIf I died, we'd be together nowI can't always just forget herBut she could try"", 'At the end of the world or the last thing I seeYou are never coming home, never coming homeCould I? Should I?And all the things that you never ever told meAnd all the smiles that are ever, ever', ""Ever get the feeling that you're never all alone?And I remember nowAt the top of my lungs in my arms, she dies, she dies"", 'At the end of the world or the last thing I seeYou are never coming home, never coming homeCould I? Should I?And all the things that you never ever told meAnd all the smiles that are ever gonna haunt me', 'Never coming home, never coming homeCould I? Should I?And all the wounds that are ever gonna scar meFor all the ghosts that are never gonna catch me', 'If I fallIf I fall down', 'At the end of the world or the last thing I seeYou are never coming home, never coming homeNever coming home, never coming homeAnd all the things that you never ever told meAnd all the smiles that are ever going to haunt me', 'Never coming home, never coming homeCould I? Should I?And all the wounds that are ever gonna scar meFor all the ghosts that are never gonna']"
Pica Do 7,fado,"['De manhã cedinho eu salto do ninhoE vou pra paragemDe bandolete à espera do 7 mas não pela viagemEu bem que não queriaMas um certo dia eu vi-o passarE o meu peito céptico, por um pica de eléctricoVoltou a sonhar', 'A cada repique, que soa do cliqueDaquele alicateNum modo frenético, o peito céptico toca a rebateSe o trem descarrila o povo refilaE eu fico num sinoPois um mero trajeto no meu caso concretoÉ já o destino', 'Ninguém acredita no estado em que ficaO meu coraçãoQuando o 7 me apanhaAté acho que a senha me salta da mãoPois na carreira desta vida vãMais nada me dá a pica que o pica do sete me dá', 'Que triste fadário e que itinerário tão infelizCruzar meu horárioCom o dum funcionário de um trem da carrisSe eu lhe perguntasseSe tem livre passe pró peito de alguémVá-se lá saberTalvez eu lhe oblitere o peito também', 'Ninguém acredita no estado em que ficaO meu coraçãoQuando o 7 me apanhaAté acho que a senha me salta da mãoPois na carreira desta vida vãMais nada me dá a pica que o pica do sete me dá']"
Remitente (Versión Benidorm Fest),flamenco-bulerias,"['sé mi hizo tarde, se fue la arenasé mi hizo tarde, y ahora cadenaEn un suspiro, vi tu cavernaY todos para dentro, aunque nos duela', 'Soy un reflejo, una sirenaEl brazo alzado de tus abuelasDos perras chicas en la carteraRación de leche, ración de pena', 'Perdona esta carta que te doySin ser yoPero ahí tienes una lista antes de marcharCon lo que vivimosY ahora muérdele, muérdele, muérdele', 'Y se puede apagarBorrando y olvidandoPisando y susurrandoLas horas contadas', 'El velo negro en un corrillo de mujeresCoge el juguete con la diestraNo rechistes y que tu padre no se entereAy que sobró valorY mucho corazónPa dar pasos al frente y poder volarQuien', 'Voló contigo más allá de lo prohibidoTendió su mano y la fuerza para darteLo que, por suerte, nadie te regalaráY ahora vas tú y me la dejas solaQuien', 'Te dio la voz y la voz y la vozY la voz que te robanNo la sueltes, amor míoQue te quedas sin razónQue si ya apagas esa vozLa voz se ahoga', 'sé mi hizo tarde, se fue la arenasé mi hizo tarde, y ahora cadenaEn un suspiro, vi tu cavernaY todos para dentro, aunque nos duela', 'Soy un reflejo, una sirenaEl brazo alzado de tus abuelasDos perras chicas en la carteraRación de leche, ración de penaAy', 'Fue el blanco y negro el desespero entre los trenesLas trece rosas, el babi azul, cola del panLas desbandás que nunca vuelvenAy, ay, ay, amor', 'Mira qué grande nos quedóEl respeto y los clavelesRemiendo de alfileresTe digo el remitenteSe llamaba libertadQuien', 'Voló contigo más allá de lo prohibidoTendió su mano y la fuerza para darteLo que, por suerte, nadie te regalaráY ahora vas tú y me la dejas solaQuien', 'Te dio la voz y la voz y la vozY la voz que te robanNo la sueltes, amor míoQue te quedas sin razónQue si ya apagas esa vozLa voz se ahoga', 'sé mi hizo tarde, se fue la arenasé mi hizo tarde, y ahora cadenaEn un suspiro, vi tu cavernaY todos para dentro, aunque nos duela', 'Soy un reflejo, una sirenaEl brazo alzado de tus abuelasDos perras chicas en la carteraRación de leche, ración de penaMaría de mis carnes', 'A ver si eres tan galloA ver si eres tan grandeA ver si eres tan galloA ver si eres tan grande']"
Johnny Cash,folk,[]
Alceu Valença,forro,[]
